sample_index,EXG Channel 0,EXG Channel 1,EXG Channel 2,EXG Channel 3,EXG Channel 4,EXG Channel 5,EXG Channel 6,EXG Channel 7,thumb_ext_angle,index_ext_angle,middle_ext_angle,ring_ext_angle,pinky_ext_angle,hand_state
127,6566.003747702092,733.6066047676331,5733.155397552896,23086.736868230924,0.0,0.0,0.0,0.0,169.5,170.55,172.39,167.99,156.87,Open
128,6848.418038894897,926.0104210389164,5942.859464032586,22744.576364109085,0.0,0.0,0.0,0.0,169.5,170.55,172.39,167.99,156.87,Open
129,6733.530072394618,729.7844564657756,5801.14940418594,22319.49088805805,0.0,0.0,0.0,0.0,169.5,170.55,172.39,167.99,156.87,Open
130,6385.468707736577,420.6151271599683,5512.431921056738,22343.742530792064,0.0,0.0,0.0,0.0,169.5,170.55,172.39,167.99,156.87,Open
131,6239.198892021048,380.1361179514072,5431.429199150705,22823.76859471424,0.0,0.0,0.0,0.0,169.5,170.55,172.39,167.99,156.87,Open
132,6573.290416394522,731.5278925332896,5735.099999320508,23119.370415135672,0.0,0.0,0.0,0.0,169.5,170.55,172.39,167.99,156.87,Open
133,6849.02153599519,921.987107036961,5938.970260497363,22763.776512596192,0.0,0.0,0.0,0.0,169.52,170.28,172.06,167.64,156.77,Open
134,6735.273508462133,734.2324536123817,5799.137747184962,22314.39469032225,0.0,0.0,0.0,0.0,169.52,170.28,172.06,167.64,156.77,Open
135,6362.625224903253,402.5996211289908,5488.493202745104,22304.78344020646,0.0,0.0,0.0,0.0,169.52,170.28,172.06,167.64,156.77,Open
136,6202.966714258995,354.6551292723572,5394.034730676977,22776.51700693572,0.0,0.0,0.0,0.0,169.52,170.28,172.06,167.64,156.77,Open
137,6553.397363829299,730.2761948437924,5722.001877069697,23062.887556897116,0.0,0.0,0.0,0.0,169.52,170.28,172.06,167.64,156.77,Open
138,6856.039983754156,937.1415897776592,5958.393926429025,22749.046713000145,0.0,0.0,0.0,0.0,169.52,170.28,172.06,167.64,156.77,Open
139,6732.613650871951,736.5570350357336,5807.899631011443,22292.735849945053,0.0,0.0,0.0,0.0,169.52,170.28,172.06,167.64,156.77,Open
140,6353.885692821228,396.2740774481389,5475.015100838555,22279.99535560553,0.0,0.0,0.0,0.0,169.52,170.28,172.06,167.64,156.77,Open
141,6191.567324586788,329.5094167601368,5374.074622878387,22764.447064929853,0.0,0.0,0.0,0.0,169.52,170.28,172.06,167.64,156.77,Open
142,6525.994125127092,688.2996187567256,5690.307103432072,23075.00220239189,0.0,0.0,0.0,0.0,169.52,170.28,172.06,167.64,156.77,Open
143,6813.437558822341,913.4934441439444,5918.74193176531,22719.050671941124,0.0,0.0,0.0,0.0,169.52,170.28,172.06,167.64,156.77,Open
144,6721.571889111029,747.352927607647,5812.861718280521,22259.185881517635,0.0,0.0,0.0,0.0,169.52,170.28,172.06,167.64,156.77,Open
145,6384.686396680641,439.4352959913368,5534.537796323037,22263.186843775136,0.0,0.0,0.0,0.0,169.52,170.28,172.06,167.64,156.77,Open
146,6220.401074934134,385.3664261539491,5401.902544725245,22782.574329683102,0.0,0.0,0.0,0.0,169.52,170.28,172.06,167.64,156.77,Open
147,6591.261218936589,755.8465905006636,5725.600507927002,23124.46661287148,0.0,0.0,0.0,0.0,169.52,170.28,172.06,167.64,156.77,Open
148,6891.60160918255,966.5564854808432,5963.735993353844,22783.1778267834,0.0,0.0,0.0,0.0,169.52,170.28,172.06,167.64,156.77,Open
149,6768.91288386737,767.2012766839596,5825.758674831232,22309.99139666455,0.0,0.0,0.0,0.0,169.52,170.28,172.06,167.64,156.77,Open
150,6380.126640811759,420.2351475042281,5500.13846160632,22279.28009978296,0.0,0.0,0.0,0.0,169.52,170.28,172.06,167.64,156.77,Open
151,6214.433159164568,364.0205101991308,5404.048312192955,22768.35862020953,0.0,0.0,0.0,0.0,169.52,170.28,172.06,167.64,156.77,Open
152,6563.366241856366,736.3111658467252,5733.624784186457,23097.488057313927,0.0,0.0,0.0,0.0,169.52,170.28,172.06,167.64,156.77,Open
153,6837.264518411698,929.4749414294888,5931.214205171372,22716.994311451235,0.0,0.0,0.0,0.0,169.52,170.28,172.06,167.64,156.77,Open
154,6727.897432791881,738.6580990145325,5791.359340114515,22225.03241598993,0.0,0.0,0.0,0.0,169.52,170.28,172.06,167.64,156.77,Open
155,6359.630091146242,403.73956009621145,5484.581647465426,22236.141232984213,0.0,0.0,0.0,0.0,169.52,170.28,172.06,167.64,156.77,Open
156,6196.149432200126,353.7834112386002,5385.87634395079,22754.277021202688,0.0,0.0,0.0,0.0,169.52,170.28,172.06,167.64,156.77,Open
157,6543.204968357679,740.736811248876,5709.239030985717,23095.454048568496,0.0,0.0,0.0,0.0,169.52,170.28,172.06,167.64,156.77,Open
158,6861.806733823626,976.9723983970164,5952.56012112619,22749.247878700244,0.0,0.0,0.0,0.0,169.52,170.28,172.06,167.64,156.77,Open
159,6757.737011639716,768.2741604178144,5820.8189393066095,22196.66805227614,0.0,0.0,0.0,0.0,169.62,170.31,172.06,167.76,156.67,Open
